state1,state2,state3,state4,action,reward
red, right, notraffic, left,forward,-5.32
red, right, notraffic, left,right,0.00
red, right, notraffic, left,None,1.33
red, right, notraffic, left,left,0.00
red, notraffic, right, left,forward,0.00
red, notraffic, right, left,right,0.00
red, notraffic, right, left,None,1.98
red, notraffic, right, left,left,0.00
green, left, forward, left,forward,0.00
green, left, forward, left,right,0.74
green, left, forward, left,None,0.00
green, left, forward, left,left,0.00
green, left, left, right,forward,1.06
green, left, left, right,right,0.00
green, left, left, right,None,0.00
green, left, left, right,left,0.00
red, notraffic, right, forward,forward,0.00
red, notraffic, right, forward,right,0.00
red, notraffic, right, forward,None,0.00
red, notraffic, right, forward,left,-20.36
green, forward, notraffic, right,forward,0.00
green, forward, notraffic, right,right,1.82
green, forward, notraffic, right,None,0.00
green, forward, notraffic, right,left,0.34
green, notraffic, forward, forward,forward,0.83
green, notraffic, forward, forward,right,0.00
green, notraffic, forward, forward,None,0.00
green, notraffic, forward, forward,left,-9.72
green, notraffic, notraffic, forward,forward,1.98
green, notraffic, notraffic, forward,right,0.09
green, notraffic, notraffic, forward,None,-4.91
green, notraffic, notraffic, forward,left,0.97
red, right, forward, left,forward,0.00
red, right, forward, left,right,0.00
red, right, forward, left,None,1.28
red, right, forward, left,left,-7.94
green, forward, left, left,forward,0.00
green, forward, left, left,right,0.31
green, forward, left, left,None,0.00
green, forward, left, left,left,0.00
green, notraffic, left, forward,forward,1.57
green, notraffic, left, forward,right,0.71
green, notraffic, left, forward,None,-2.85
green, notraffic, left, forward,left,0.18
red, right, notraffic, forward,forward,0.00
red, right, notraffic, forward,right,0.00
red, right, notraffic, forward,None,0.66
red, right, notraffic, forward,left,0.00
red, notraffic, notraffic, left,forward,-24.31
red, notraffic, notraffic, left,right,0.12
red, notraffic, notraffic, left,None,1.71
red, notraffic, notraffic, left,left,-8.33
red, left, notraffic, right,forward,-20.44
red, left, notraffic, right,right,1.64
red, left, notraffic, right,None,0.46
red, left, notraffic, right,left,-19.87
green, notraffic, left, left,forward,1.07
green, notraffic, left, left,right,0.68
green, notraffic, left, left,None,-4.53
green, notraffic, left, left,left,1.98
red, forward, notraffic, right,forward,-19.97
red, forward, notraffic, right,right,-9.58
red, forward, notraffic, right,None,-0.05
red, forward, notraffic, right,left,-19.80
green, notraffic, left, right,forward,0.00
green, notraffic, left, right,right,0.00
green, notraffic, left, right,None,-2.17
green, notraffic, left, right,left,0.56
red, forward, left, right,forward,0.00
red, forward, left, right,right,-9.59
red, forward, left, right,None,0.00
red, forward, left, right,left,-29.42
red, notraffic, notraffic, right,forward,-9.65
red, notraffic, notraffic, right,right,1.16
red, notraffic, notraffic, right,None,1.11
red, notraffic, notraffic, right,left,-7.30
green, notraffic, notraffic, right,forward,1.23
green, notraffic, notraffic, right,right,2.19
green, notraffic, notraffic, right,None,-4.37
green, notraffic, notraffic, right,left,1.36
green, notraffic, forward, right,forward,0.00
green, notraffic, forward, right,right,1.80
green, notraffic, forward, right,None,0.00
green, notraffic, forward, right,left,-9.59
green, forward, notraffic, forward,forward,0.00
green, forward, notraffic, forward,right,1.17
green, forward, notraffic, forward,None,-2.98
green, forward, notraffic, forward,left,0.26
red, notraffic, left, right,forward,-5.38
red, notraffic, left, right,right,0.00
red, notraffic, left, right,None,0.47
red, notraffic, left, right,left,0.00
green, right, left, forward,forward,0.00
green, right, left, forward,right,0.15
green, right, left, forward,None,0.00
green, right, left, forward,left,0.00
green, left, notraffic, left,forward,0.69
green, left, notraffic, left,right,0.32
