state1,state2,state3,state4,action1,reward1,action2,reward2,action3,reward3,action4,reward4
red, right, notraffic, left,forward,-5.32,right,0.00,None,1.33,left,0.00
red, notraffic, right, left,forward,0.00,right,0.00,None,1.98,left,0.00
green, left, forward, left,forward,0.00,right,0.74,None,0.00,left,0.00
green, left, left, right,forward,1.06,right,0.00,None,0.00,left,0.00
red, notraffic, right, forward,forward,0.00,right,0.00,None,0.00,left,-20.36
green, forward, notraffic, right,forward,0.00,right,1.82,None,0.00,left,0.34
green, notraffic, forward, forward,forward,0.83,right,0.00,None,0.00,left,-9.72
green, notraffic, notraffic, forward,forward,1.98,right,0.09,None,-4.91,left,0.97
red, right, forward, left,forward,0.00,right,0.00,None,1.28,left,-7.94
green, forward, left, left,forward,0.00,right,0.31,None,0.00,left,0.00
green, notraffic, left, forward,forward,1.57,right,0.71,None,-2.85,left,0.18
red, right, notraffic, forward,forward,0.00,right,0.00,None,0.66,left,0.00
red, notraffic, notraffic, left,forward,-24.31,right,0.12,None,1.71,left,-8.33
red, left, notraffic, right,forward,-20.44,right,1.64,None,0.46,left,-19.87
green, notraffic, left, left,forward,1.07,right,0.68,None,-4.53,left,1.98
red, forward, notraffic, right,forward,-19.97,right,-9.58,None,-0.05,left,-19.80
green, notraffic, left, right,forward,0.00,right,0.00,None,-2.17,left,0.56
red, forward, left, right,forward,0.00,right,-9.59,None,0.00,left,-29.42
red, notraffic, notraffic, right,forward,-9.65,right,1.16,None,1.11,left,-7.30
green, notraffic, notraffic, right,forward,1.23,right,2.19,None,-4.37,left,1.36
green, notraffic, forward, right,forward,0.00,right,1.80,None,0.00,left,-9.59
green, forward, notraffic, forward,forward,0.00,right,1.17,None,-2.98,left,0.26
red, notraffic, left, right,forward,-5.38,right,0.00,None,0.47,left,0.00
green, right, left, forward,forward,0.00,right,0.15,None,0.00,left,0.00
green, left, notraffic, left,forward,0.69,right,0.32,None,0.00,left,1.41
green, forward, left, forward,forward,0.00,right,0.00,None,0.00,left,0.00
red, left, left, left,forward,0.00,right,0.10,None,0.00,left,-4.67
red, left, forward, right,forward,-20.01,right,0.00,None,0.00,left,-4.62
red, left, notraffic, left,forward,0.00,right,0.72,None,0.00,left,-5.15
green, right, forward, right,forward,0.00,right,0.00,None,0.00,left,-9.73
green, forward, right, left,forward,0.00,right,0.00,None,0.00,left,-9.83
red, notraffic, forward, forward,forward,0.00,right,0.00,None,1.44,left,0.00
red, left, notraffic, forward,forward,-4.98,right,0.00,None,0.91,left,-20.04
red, notraffic, forward, right,forward,-4.84,right,1.26,None,0.00,left,0.00
green, right, notraffic, forward,forward,0.00,right,0.00,None,0.00,left,0.00
green, notraffic, forward, left,forward,0.00,right,0.78,None,-2.78,left,-10.05
green, forward, forward, right,forward,0.00,right,1.14,None,0.00,left,0.00
red, forward, left, left,forward,0.00,right,-9.88,None,0.00,left,-29.96
green, left, left, left,forward,0.00,right,0.37,None,-2.63,left,2.01
green, notraffic, right, right,forward,0.00,right,1.74,None,-3.97,left,-10.38
red, notraffic, forward, left,forward,-9.31,right,0.93,None,1.84,left,0.00
red, notraffic, notraffic, forward,forward,-24.08,right,0.92,None,0.00,left,-10.34
red, forward, left, forward,forward,0.00,right,0.00,None,1.27,left,0.00
green, left, left, forward,forward,0.00,right,0.42,None,-2.64,left,0.00
red, right, left, forward,forward,0.00,right,0.00,None,0.00,left,0.00
red, left, left, right,forward,0.00,right,0.00,None,0.55,left,0.00
red, forward, notraffic, forward,forward,0.00,right,0.00,None,1.40,left,0.00
green, notraffic, right, forward,forward,0.81,right,0.00,None,-2.57,left,-9.74
green, right, notraffic, right,forward,0.00,right,1.07,None,0.00,left,0.00
red, notraffic, right, right,forward,0.00,right,0.00,None,0.00,left,0.00
green, left, notraffic, right,forward,0.00,right,1.80,None,-3.60,left,0.00
green, right, notraffic, left,forward,0.00,right,0.00,None,0.00,left,0.48
green, left, forward, right,forward,0.00,right,0.00,None,-2.46,left,0.00
green, left, right, right,forward,0.00,right,1.09,None,0.00,left,0.00
green, forward, notraffic, left,forward,-0.09,right,-0.00,None,-2.60,left,1.62
red, right, left, left,forward,-5.25,right,0.91,None,0.84,left,-5.29
red, left, forward, left,forward,0.00,right,0.27,None,0.00,left,-5.08
green, forward, forward, forward,forward,1.01,right,0.00,None,0.00,left,0.00
red, forward, right, left,forward,-19.90,right,0.00,None,0.71,left,-20.36
green, notraffic, right, left,forward,0.81,right,0.00,None,0.00,left,0.00
red, notraffic, left, forward,forward,-5.44,right,0.00,None,1.38,left,-5.15
red, notraffic, left, left,forward,-20.38,right,0.04,None,2.07,left,-4.73
red, forward, notraffic, left,forward,0.00,right,0.00,None,2.26,left,-19.60
green, notraffic, notraffic, left,forward,0.60,right,0.48,None,-4.11,left,1.23
red, left, forward, forward,forward,0.00,right,0.11,None,0.00,left,0.00
red, left, right, left,forward,0.00,right,0.11,None,0.00,left,0.00
green, left, notraffic, forward,forward,1.22,right,0.48,None,0.00,left,0.00
