trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9999875000260416}",20,0,-173.61798890576551,"{0: 6, 1: 6, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.9999500004166653}",20,8,-48.62278665205451,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.4, 'e': 0.9998875021093592}",20,0,-108.0933749670735,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.9998000066665778}",20,0,-96.41202506963768,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.4, 'e': 0.9996875162757026}",20,0,-156.07531243077003,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.9995500337489875}",25,0,-90.20936555615756,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.9993875625234886}",25,0,-154.20321933564614,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 4}",0
8,False,"{'a': 0.4, 'e': 0.9992001066609779}",20,0,-164.35885991076407,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.9989876708478425}",20,0,-87.52796407326943,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.9987502603949663}",20,9,-132.62940562647375,"{0: 5, 1: 0, 2: 2, 3: 2, 4: 2}",1
11,False,"{'a': 0.4, 'e': 0.9984878812375985}",25,0,-102.57389730085023,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.9982005399352042}",20,9,-23.248888719892104,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.4, 'e': 0.9978882436713011}",20,0,-79.60649480937019,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.4, 'e': 0.9975510002532796}",20,0,-31.315442455456008,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.9971888181122075}",20,0,-138.41681289643975,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.9968017063026193}",25,0,-98.59997705359626,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.9963896745022904}",20,0,-153.11237330340072,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.4, 'e': 0.9959527330119943}",20,0,-125.54454684833938,"{0: 9, 1: 1, 2: 7, 3: 3, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.9954908927552453}",25,0,-91.18183150788253,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.4, 'e': 0.9950041652780257}",20,0,-58.21144328139863,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.4, 'e': 0.9944925627484974}",30,0,-137.40893959327033,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
22,False,"{'a': 0.4, 'e': 0.9939560979566968}",30,0,-211.6934888610458,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
23,False,"{'a': 0.4, 'e': 0.9933947843142158}",35,0,-157.29410189976295,"{0: 19, 1: 9, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.4, 'e': 0.9928086358538663}",20,0,-152.5230415069826,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
25,False,"{'a': 0.4, 'e': 0.992197667229329}",20,0,-66.92939885650317,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.9915618937147881}",20,0,-67.71545833716645,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
27,False,"{'a': 0.4, 'e': 0.9909013312045479}",25,0,-174.01991739192175,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
28,False,"{'a': 0.4, 'e': 0.9902159962126371}",20,0,-120.99945926581114,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
29,False,"{'a': 0.4, 'e': 0.9895059058723947}",20,0,-152.34186416200004,"{0: 7, 1: 6, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.4, 'e': 0.9887710779360422}",30,0,-57.247496514654934,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
31,False,"{'a': 0.4, 'e': 0.9880115307742399}",30,0,-150.9053078367945,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
32,False,"{'a': 0.4, 'e': 0.9872272833756269}",20,0,-59.03924924483958,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
33,False,"{'a': 0.4, 'e': 0.9864183553463477}",30,0,-39.50411801026119,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
34,False,"{'a': 0.4, 'e': 0.9855847669095607}",25,0,-220.55822293142145,"{0: 10, 1: 3, 2: 8, 3: 1, 4: 3}",0
35,False,"{'a': 0.4, 'e': 0.9847265389049334}",20,6,-60.093262642203015,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.4, 'e': 0.9838436927881214}",20,0,-160.79364952587622,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
37,False,"{'a': 0.4, 'e': 0.9829362506302315}",25,0,-81.34668506660832,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.4, 'e': 0.9820042351172703}",25,0,-114.49374166388985,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.4, 'e': 0.9810476695495772}",20,0,-80.61990704387198,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.4, 'e': 0.9800665778412416}",20,0,-95.10322747672159,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
