state1,state2,state3,state4,action,reward
green, forward, left, right,forward,0.73
green, forward, left, right,right,1.81
green, forward, left, right,None,-4.27
green, forward, left, right,left,0.70
green, notraffic, forward, forward,forward,2.15
green, notraffic, forward, forward,right,0.88
green, notraffic, forward, forward,None,-4.95
green, notraffic, forward, forward,left,-19.79
green, forward, left, left,forward,0.97
green, forward, left, left,right,1.17
green, forward, left, left,None,-4.61
green, forward, left, left,left,2.34
green, notraffic, left, forward,forward,2.15
green, notraffic, left, forward,right,0.45
green, notraffic, left, forward,None,-4.82
green, notraffic, left, forward,left,0.56
red, right, notraffic, forward,forward,-9.69
red, right, notraffic, forward,right,0.46
red, right, notraffic, forward,None,1.57
red, right, notraffic, forward,left,-12.98
green, left, right, forward,forward,1.23
green, left, right, forward,right,0.03
green, left, right, forward,None,-3.51
green, left, right, forward,left,0.00
red, left, right, forward,forward,-4.13
red, left, right, forward,right,0.53
red, left, right, forward,None,1.59
red, left, right, forward,left,-25.93
red, left, right, right,forward,-6.40
red, left, right, right,right,2.13
red, left, right, right,None,0.01
red, left, right, right,left,-25.92
green, notraffic, right, right,forward,0.41
green, notraffic, right, right,right,1.52
green, notraffic, right, right,None,-4.38
green, notraffic, right, right,left,-20.02
green, forward, right, right,forward,0.00
green, forward, right, right,right,1.49
green, forward, right, right,None,-2.08
green, forward, right, right,left,-8.19
green, notraffic, forward, right,forward,0.55
green, notraffic, forward, right,right,1.50
green, notraffic, forward, right,None,-5.28
green, notraffic, forward, right,left,-19.29
green, left, right, left,forward,0.53
green, left, right, left,right,-0.03
green, left, right, left,None,-3.96
green, left, right, left,left,-12.91
red, notraffic, forward, forward,forward,-9.59
red, notraffic, forward, forward,right,0.50
red, notraffic, forward, forward,None,1.69
red, notraffic, forward, forward,left,-9.97
green, right, forward, forward,forward,0.00
green, right, forward, forward,right,0.19
green, right, forward, forward,None,-3.52
green, right, forward, forward,left,-12.44
green, notraffic, forward, left,forward,0.54
green, notraffic, forward, left,right,0.08
green, notraffic, forward, left,None,-5.00
green, notraffic, forward, left,left,-20.33
red, left, notraffic, forward,forward,-11.92
red, left, notraffic, forward,right,1.17
red, left, notraffic, forward,None,2.08
red, left, notraffic, forward,left,-29.60
red, right, forward, forward,forward,0.00
red, right, forward, forward,right,1.06
red, right, forward, forward,None,1.78
red, right, forward, forward,left,-7.85
red, notraffic, forward, left,forward,-10.01
red, notraffic, forward, left,right,0.34
red, notraffic, forward, left,None,1.66
red, notraffic, forward, left,left,-22.04
red, notraffic, notraffic, forward,forward,-11.01
red, notraffic, notraffic, forward,right,0.62
red, notraffic, notraffic, forward,None,1.54
red, notraffic, notraffic, forward,left,-21.91
green, right, left, forward,forward,2.21
green, right, left, forward,right,1.13
green, right, left, forward,None,-4.12
green, right, left, forward,left,0.50
green, right, forward, left,forward,0.29
green, right, forward, left,right,0.18
green, right, forward, left,None,-2.26
green, right, forward, left,left,-7.79
green, right, notraffic, right,forward,0.78
green, right, notraffic, right,right,1.83
green, right, notraffic, right,None,-4.36
green, right, notraffic, right,left,0.40
green, left, forward, right,forward,0.65
green, left, forward, right,right,1.90
green, left, forward, right,None,-4.53
green, left, forward, right,left,-16.93
green, right, right, right,forward,0.00
green, right, right, right,right,1.37
green, right, right, right,None,0.00
green, right, right, right,left,-8.36
green, forward, forward, forward,forward,1.47
green, forward, forward, forward,right,0.80
green, forward, forward, forward,None,0.00
green, forward, forward, forward,left,-12.95
red, notraffic, left, left,forward,-10.28
red, notraffic, left, left,right,0.38
red, notraffic, left, left,None,2.62
red, notraffic, left, left,left,-10.72
green, notraffic, notraffic, left,forward,0.60
green, notraffic, notraffic, left,right,0.58
green, notraffic, notraffic, left,None,-5.41
green, notraffic, notraffic, left,left,2.13
red, right, notraffic, left,forward,-9.99
red, right, notraffic, left,right,0.61
red, right, notraffic, left,None,1.51
red, right, notraffic, left,left,-10.02
red, forward, right, right,forward,-34.99
red, forward, right, right,right,0.00
red, forward, right, right,None,0.90
red, forward, right, right,left,-25.43
red, left, forward, right,forward,-6.09
red, left, forward, right,right,1.49
red, left, forward, right,None,0.74
red, left, forward, right,left,-14.05
green, left, left, forward,forward,1.59
green, left, left, forward,right,0.97
green, left, left, forward,None,-4.06
green, left, left, forward,left,0.38
red, right, forward, left,forward,-7.77
red, right, forward, left,right,0.38
red, right, forward, left,None,1.80
red, right, forward, left,left,-15.39
red, right, right, forward,forward,0.00
red, right, right, forward,right,0.00
red, right, right, forward,None,0.97
red, right, right, forward,left,-25.68
green, right, notraffic, forward,forward,1.98
green, right, notraffic, forward,right,0.56
green, right, notraffic, forward,None,-4.83
green, right, notraffic, forward,left,1.03
red, forward, notraffic, right,forward,-40.21
red, forward, notraffic, right,right,-20.25
red, forward, notraffic, right,None,0.74
red, forward, notraffic, right,left,-40.32
green, left, notraffic, right,forward,0.75
green, left, notraffic, right,right,1.77
green, left, notraffic, right,None,-5.23
green, left, notraffic, right,left,0.53
red, notraffic, notraffic, right,forward,-10.67
red, notraffic, notraffic, right,right,1.67
red, notraffic, notraffic, right,None,1.27
red, notraffic, notraffic, right,left,-22.01
green, notraffic, notraffic, right,forward,0.91
green, notraffic, notraffic, right,right,1.58
green, notraffic, notraffic, right,None,-4.86
green, notraffic, notraffic, right,left,1.14
red, left, notraffic, right,forward,-15.14
red, left, notraffic, right,right,1.88
red, left, notraffic, right,None,0.56
red, left, notraffic, right,left,-22.84
green, left, forward, left,forward,-0.02
green, left, forward, left,right,0.72
green, left, forward, left,None,-4.15
green, left, forward, left,left,-17.24
red, left, left, left,forward,-4.24
red, left, left, left,right,1.08
red, left, left, left,None,1.85
red, left, left, left,left,-7.33
green, right, right, left,forward,0.71
green, right, right, left,right,0.00
green, right, right, left,None,0.00
green, right, right, left,left,0.00
green, right, forward, right,forward,0.48
green, right, forward, right,right,1.96
green, right, forward, right,None,-4.29
green, right, forward, right,left,0.00
red, notraffic, forward, right,forward,-9.97
red, notraffic, forward, right,right,1.65
red, notraffic, forward, right,None,0.62
red, notraffic, forward, right,left,-10.02
green, left, notraffic, left,forward,0.75
green, left, notraffic, left,right,0.41
green, left, notraffic, left,None,-5.26
green, left, notraffic, left,left,2.00
red, forward, left, left,forward,-16.19
red, forward, left, left,right,-19.34
red, forward, left, left,None,1.64
red, forward, left, left,left,-25.50
red, right, right, left,forward,-6.17
red, right, right, left,right,0.29
red, right, right, left,None,1.28
red, right, right, left,left,-25.69
red, forward, notraffic, forward,forward,-40.13
red, forward, notraffic, forward,right,-20.27
red, forward, notraffic, forward,None,1.73
red, forward, notraffic, forward,left,-39.76
red, notraffic, right, right,forward,-10.33
red, notraffic, right, right,right,1.71
red, notraffic, right, right,None,0.36
red, notraffic, right, right,left,-38.83
green, left, right, right,forward,0.12
green, left, right, right,right,1.61
green, left, right, right,None,0.00
green, left, right, right,left,-15.64
red, right, right, right,forward,-4.38
red, right, right, right,right,0.00
red, right, right, right,None,-0.14
red, right, right, right,left,0.00
green, right, left, right,forward,0.18
green, right, left, right,right,0.76
green, right, left, right,None,-2.16
green, right, left, right,left,0.72
red, left, forward, forward,forward,-22.02
red, left, forward, forward,right,0.58
red, left, forward, forward,None,1.76
red, left, forward, forward,left,-16.00
green, forward, notraffic, right,forward,0.89
green, forward, notraffic, right,right,2.53
green, forward, notraffic, right,None,-4.91
green, forward, notraffic, right,left,1.25
green, notraffic, right, left,forward,0.12
green, notraffic, right, left,right,1.30
green, notraffic, right, left,None,-4.89
green, notraffic, right, left,left,-17.36
green, left, notraffic, forward,forward,1.44
green, left, notraffic, forward,right,0.62
green, left, notraffic, forward,None,-5.12
green, left, notraffic, forward,left,1.43
red, notraffic, notraffic, left,forward,-10.66
red, notraffic, notraffic, left,right,0.93
red, notraffic, notraffic, left,None,2.11
red, notraffic, notraffic, left,left,-12.39
green, notraffic, left, left,forward,1.11
green, notraffic, left, left,right,0.67
green, notraffic, left, left,None,-4.89
green, notraffic, left, left,left,1.28
green, forward, right, forward,forward,2.20
green, forward, right, forward,right,0.57
green, forward, right, forward,None,-4.62
green, forward, right, forward,left,-7.99
green, forward, notraffic, forward,forward,2.28
green, forward, notraffic, forward,right,0.71
green, forward, notraffic, forward,None,-4.94
green, forward, notraffic, forward,left,1.32
red, forward, forward, forward,forward,-25.07
red, forward, forward, forward,right,-17.31
red, forward, forward, forward,None,1.88
red, forward, forward, forward,left,-15.73
red, notraffic, right, left,forward,-11.70
red, notraffic, right, left,right,0.67
red, notraffic, right, left,None,1.70
